"purchase_id";"user_id";"item_type";"item_id";"quantity";"total_price";"purchase_date"
2047;1;"school_supplies";1;420;312.58;"2023-02-02 18:02:21"
2048;1;"school_supplies";1;420;312.58;"2023-02-02 18:02:21"
2172;312;"book";1;1;99.99;"2025-05-09 22:56:52"
2173;807;"book";1;1;99.99;"2025-05-09 22:56:52"
2174;938;"book";1;1;99.99;"2025-05-09 22:56:52"
2395;816;"book";1;1;99.99;"2025-05-09 22:56:52"
2396;789;"book";1;1;99.99;"2025-05-09 22:56:52"
2397;621;"book";1;1;99.99;"2025-05-09 22:56:52"
2398;111;"book";1;1;99.99;"2025-05-09 22:56:52"
2399;824;"book";1;1;99.99;"2025-05-09 22:56:52"
2400;838;"book";1;1;99.99;"2025-05-09 22:56:52"
2401;72;"book";1;1;99.99;"2025-05-09 22:56:52"
2402;966;"book";1;1;99.99;"2025-05-09 22:56:52"
2403;504;"book";1;1;99.99;"2025-05-09 22:56:52"
4099;69;"notebook";50;4;336.94;"2025-05-09 22:59:29"
4100;248;"pen";20;4;390.84;"2025-05-09 22:59:29"
4101;256;"notebook";98;2;274.49;"2025-05-09 22:59:29"
4102;43;"notebook";48;5;104.1;"2025-05-09 22:59:29"
4103;244;"book";37;2;80.95;"2025-05-09 22:59:29"
4104;980;"notebook";50;3;65.15;"2025-05-09 22:59:29"
4105;331;"book";68;2;439.08;"2025-05-09 22:59:29"
4106;585;"book";54;5;126.22;"2025-05-09 22:59:29"
4107;897;"book";72;4;218.71;"2025-05-09 22:59:29"
4108;451;"notebook";67;2;445.18;"2025-05-09 22:59:29"
4109;16;"book";85;2;71.47;"2025-05-09 22:59:29"
4110;341;"pen";75;5;55.09;"2025-05-09 22:59:29"
4111;679;"notebook";2;3;205.87;"2025-05-09 22:59:29"
4112;565;"pen";49;5;329.9;"2025-05-09 22:59:29"
4113;668;"notebook";3;4;279.85;"2025-05-09 22:59:29"
4114;304;"pen";27;3;15.52;"2025-05-09 22:59:29"
4115;405;"pen";87;1;135.39;"2025-05-09 22:59:29"
4116;20;"notebook";12;2;433.27;"2025-05-09 22:59:29"
4117;858;"pen";39;1;283.96;"2025-05-09 22:59:29"
4118;144;"pen";15;4;402.31;"2025-05-09 22:59:29"
4119;411;"book";88;1;171.76;"2025-05-09 22:59:29"
4120;691;"book";44;5;195.04;"2025-05-09 22:59:29"
4121;38;"book";23;5;396.64;"2025-05-09 22:59:29"
4122;303;"book";1;2;37.88;"2025-05-09 22:59:29"
4123;549;"pen";1;1;306.34;"2025-05-09 22:59:29"
4124;123;"pen";44;2;415.66;"2025-05-09 22:59:29"
4125;432;"pen";82;4;488.98;"2025-05-09 22:59:29"
4126;57;"notebook";27;5;122.12;"2025-05-09 22:59:29"
4127;371;"notebook";97;4;161.08;"2025-05-09 22:59:29"
4128;477;"pen";16;5;119.76;"2025-05-09 22:59:29"
4129;193;"book";84;2;429.53;"2025-05-09 22:59:29"
4130;971;"pen";75;2;269.16;"2025-05-09 22:59:29"
4131;138;"pen";31;4;40.86;"2025-05-09 22:59:29"
4132;976;"notebook";44;3;381.83;"2025-05-09 22:59:29"
4133;158;"pen";48;4;98.84;"2025-05-09 22:59:29"
4134;395;"notebook";18;4;364.66;"2025-05-09 22:59:29"
4135;119;"notebook";17;5;293.7;"2025-05-09 22:59:29"
4136;776;"pen";54;2;480.32;"2025-05-09 22:59:29"
4137;2;"notebook";42;3;170.66;"2025-05-09 22:59:29"
4138;753;"book";46;1;360.58;"2025-05-09 22:59:29"
